date,description,elev_status,posted,time,traincount,type,weather
03/22/2016,There is a 10-minute delay on the Pittsburg/Bay Point Line in the Pittsburg / Bay Point and SFO directions due to an equipment problem on the track.  A train shuttle is in place between North Concord and Pittsburg / Bay Point. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza Richmond Platform Elevator.  Thank you. ,Tue Mar 22 2016 03:00 PM PDT,17:31:00 PM PDT,58,DELAY,Clear
03/23/2016,There is a 10-minute delay on the Pittsburg/Bay Point Line in the Pittsburg / Bay Point and SFO directions due to an equipment problem on the track.  A train shuttle is in place between North Concord and Pittsburg / Bay Point. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza Richmond Platform Elevator.  Thank you. ,Tue Mar 22 2016 03:00 PM PDT,08:00:00 AM PDT,59,DELAY,Clouds
03/23/2016,BART is running shuttle trains between North Concord and Bay Point stations every 10-minutes. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza Richmond Platform Elevator.  Thank you. ,Wed Mar 23 2016 05:04 PM PDT,18:01:00 PM PDT,61,DELAY,Haze
03/24/2016,BART is running shuttle trains between North Concord and Bay Point stations every 10-minutes. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza Richmond Platform Elevator.  Thank you. ,Wed Mar 23 2016 05:04 PM PDT,08:00:00 AM PDT,59,DELAY,Clouds
03/24/2016,BART is running shuttle trains between North Concord and Bay Point stations every 10-minutes. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza Richmond Platform Elevator.  Thank you. ,Wed Mar 23 2016 05:04 PM PDT,17:30:00 PM PDT,60,DELAY,Clouds
03/25/2016,BART is running shuttle trains between North Concord and Bay Point stations every 10-minutes. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza Richmond Platform Elevator and  Civic Center Platform Elevator.  Thank you. ",Fri Mar 25 2016 05:06 AM PDT,08:00:00 AM PDT,59,DELAY,Mist
03/25/2016,BART is running shuttle trains between North Concord and Bay Point stations every 10-minutes. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza Richmond Platform Elevator and  Fremont Station Elevator.  Thank you. ",Fri Mar 25 2016 03:04 PM PDT,17:29:00 PM PDT,57,DELAY,Haze
03/26/2016,BART is running a shuttle train between North Concord and Bay Point stations. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza Richmond Platform Elevator.  Thank you. ,Sat Mar 26 2016 06:58 AM PDT,07:59:00 AM PDT,25,DELAY,Mist
03/26/2016,BART is running a shuttle train between North Concord and Bay Point stations. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza Richmond Platform Elevator and  Dublin/Pleasanton Station Elevator.  Thank you. ",Sat Mar 26 2016 06:58 AM PDT,17:30:00 PM PDT,33,DELAY,Mist
03/27/2016,BART is running a shuttle train between North Concord and Bay Point stations. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza Richmond Platform Elevator.  Thank you. ,Sat Mar 26 2016 06:58 AM PDT,07:59:00 AM PDT,15,DELAY,Clouds
03/27/2016,BART is running a shuttle train between North Concord and Bay Point stations. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza Richmond Platform Elevator and  Civic Center Street Elevator.  Thank you. ",Sat Mar 26 2016 06:58 AM PDT,17:29:00 PM PDT,25,DELAY,Haze
